no_butir,pernyataan,sifat
S1,"Saya melakukan verifikasi silang (cross-check) menggunakan buku atau situs tepercaya ketika AI menyajikan informasi yang berupa data, angka, atau fakta sejarah.",+
S2,Saya menyadari bahwa teks yang diketik oleh AI dengan tata bahasa yang sangat rapi dan meyakinkan masih memiliki kemungkinan berisi informasi fiktif (halusinasi).,+
S3,"Mengingat AI dilatih menggunakan miliaran data dari internet, saya meyakini bahwa informasi yang diberikannya pasti lebih akurat dan objektif daripada hasil pemikiran manusia.",-
S4,Saya secara transparan mencantumkan keterangan (misalnya pada catatan kaki atau daftar pustaka) apabila saya menggunakan bantuan AI dalam menyusun tugas sekolah.,+
S5,"Karena AI diciptakan untuk mempermudah pekerjaan, menyalin langsung jawaban AI untuk tugas sekolah tanpa memodifikasi bahasanya adalah praktik yang wajar dilakukan di era digital.",-
S6,"Saya memastikan untuk tidak mengetikkan data pribadi yang sensitif (seperti nama lengkap, alamat, atau kata sandi) saat berinteraksi dengan platform AI.",+
S7,"Untuk menghemat waktu pengerjaan tugas, saya seringkali langsung menyalin jawaban dari AI tanpa perlu menelaah kembali isinya secara keseluruhan.",-
S8,"Saat menemui soal yang sulit, saya mengutamakan pemecahan masalah secara mandiri atau membaca buku terlebih dahulu sebelum akhirnya meminta bantuan AI sebagai jalan terakhir.",+
S9,Saya merasa kesulitan dan kehilangan ide untuk mulai mengerjakan tugas sekolah apabila saya tidak memiliki akses ke aplikasi AI di perangkat saya.,-
S10,"Saya mampu memilah jenis tugas apa saja yang aman dikerjakan dengan bantuan AI dan jenis isu apa saja yang rentan terhadap bias jika diserahkan kepada mesin. (Catatan: Mengubah ""agama/politik"" menjadi ""isu rentan bias"" agar terhindar dari pernyataan ganda dan lebih inklusif).",+
S11,"Saya memposisikan aplikasi AI sebatas sebagai asisten pemantik ide awal (brainstorming), bukan sebagai mesin penyuap yang menyelesaikan tugas saya dari awal hingga akhir.",+
S12,Saya secara sadar membatasi intensitas penggunaan AI dalam belajar agar kemampuan nalar kritis dan kreativitas murni saya tidak mengalami kemunduran.,+
